Episode,Full time,Gameplay Time,Game 1st Half,Game 2nd Half,Mid Break,,1st start,1st end,2nd start,2nd end
Total,556:34:24,483:40:09,259:11:18,224:28:51,42:43:30,,24:49:15,,,
Avg,3:56:50,3:25:49,1:50:18,1:35:31,0:18:11,,0:10:34,2:00:51,2:19:02,3:54:34
C2E001,3:17:21,2:38:49,1:14:24,1:24:25,0:19:18,,0:16:39,1:31:03,1:50:21,3:14:46
C2E002,4:12:03,3:45:33,1:57:22,1:48:11,0:15:16,,0:08:34,2:05:56,2:21:12,4:09:23
C2E003,3:49:08,3:24:42,2:05:43,1:18:59,0:15:50,,0:07:12,2:12:55,2:28:45,3:47:44
C2E004,3:44:35,3:19:38,1:49:21,1:30:17,0:13:34,,0:08:56,1:58:17,2:11:51,3:42:08
C2E005,3:29:28,3:03:36,2:47:03,0:16:33,0:16:28,,0:09:10,2:56:13,3:12:41,3:29:14
C2E006,3:55:15,3:29:41,2:11:03,1:18:38,0:15:01,,0:08:08,2:19:11,2:34:12,3:52:50
C2E007,4:16:45,3:48:39,2:14:55,1:33:44,0:15:04,,0:09:07,2:24:02,2:39:06,4:12:50
C2E008,3:34:12,3:03:59,1:21:00,1:42:59,0:18:22,,0:10:13,1:31:13,1:49:35,3:32:34
C2E009,3:30:41,3:01:40,1:46:31,1:15:09,0:15:42,,0:11:17,1:57:48,2:13:30,3:28:39
C2E010,4:00:46,3:10:38,1:33:43,1:36:55,0:17:08,,0:11:19,1:45:02,2:02:10,3:39:05
C2E011,4:04:14,3:35:41,1:40:20,1:55:21,0:16:37,,0:10:32,1:50:52,2:07:29,4:02:50
C2E012,4:05:05,3:40:22,1:22:43,2:17:39,0:14:33,,0:08:11,1:30:54,1:45:27,4:03:06
C2E013,4:12:44,3:49:51,2:00:37,1:49:14,0:15:05,,0:06:25,2:07:02,2:22:07,4:11:21
C2E014,3:04:37,2:39:04,1:25:03,1:14:01,0:14:03,,0:10:24,1:35:27,1:49:30,3:03:31
C2E015,3:39:49,3:08:11,1:47:41,1:20:30,0:18:16,,0:10:53,1:58:34,2:16:50,3:37:20
C2E016,4:00:57,3:35:30,1:56:15,1:39:15,0:13:36,,0:09:54,2:06:09,2:19:45,3:59:00
C2E017,4:05:36,3:37:35,1:44:50,1:52:45,0:13:52,,0:12:29,1:57:19,2:11:11,4:03:56
C2E018,4:14:39,3:40:17,1:39:39,2:00:38,0:17:42,,0:10:31,1:50:10,2:07:52,4:08:30
C2E019,3:41:47,3:09:11,1:47:55,1:21:16,0:21:32,,0:10:13,1:58:08,2:19:40,3:40:56
C2E020,3:46:00,3:17:50,2:05:17,1:12:33,0:16:16,,0:09:19,2:14:36,2:30:52,3:43:25
C2E021,4:35:33,4:07:27,2:11:47,1:55:40,0:16:27,,0:10:06,2:21:53,2:38:20,4:34:00
C2E022,3:38:31,3:14:21,2:15:25,0:58:56,0:15:38,,0:07:46,2:23:11,2:38:49,3:37:45
C2E023,4:00:05,3:34:48,1:47:50,1:46:58,0:15:50,,0:08:25,1:56:15,2:12:05,3:59:03
C2E024,3:49:20,3:23:57,2:02:33,1:21:24,0:13:54,,0:10:13,2:12:46,2:26:40,3:48:04
C2E025,4:06:24,3:33:35,1:15:28,2:18:07,0:18:49,,0:09:16,1:24:44,1:43:33,4:01:40
C2E026,4:56:44,4:27:09,1:43:23,2:43:46,0:18:25,,0:08:53,1:52:16,2:10:41,4:54:27
C2E027,4:05:50,3:39:21,1:26:17,2:13:04,0:16:03,,0:09:08,1:35:25,1:51:28,4:04:32
C2E028,4:14:45,3:45:32,1:37:47,2:07:45,0:17:39,,0:07:38,1:45:25,2:03:04,4:10:49
C2E029,4:20:30,3:32:45,1:39:22,1:53:23,0:23:57,,0:19:07,1:58:29,2:22:26,4:15:49
C2E030,3:38:11,3:07:23,1:21:45,1:45:38,0:18:24,,0:10:19,1:32:04,1:50:28,3:36:06
C2E031,3:26:00,3:01:20,2:29:40,0:31:40,0:15:26,,0:08:10,2:37:50,2:53:16,3:24:56
C2E032,3:50:37,3:16:56,1:32:32,1:44:24,0:20:07,,0:11:15,1:43:47,2:03:54,3:48:18
C2E033,4:01:34,3:25:10,1:24:28,2:00:42,0:21:17,,0:12:50,1:37:18,1:58:35,3:59:17
C2E034,4:33:42,3:57:32,1:52:00,2:05:32,0:24:06,,0:10:33,2:02:33,2:26:39,4:32:11
C2E035,3:53:53,3:24:44,1:35:54,1:48:50,0:16:51,,0:10:27,1:46:21,2:03:12,3:52:02
C2E036,4:11:53,3:38:40,1:59:03,1:39:37,0:20:50,,0:10:24,2:09:27,2:30:17,4:09:54
C2E037,3:27:49,2:39:37,1:45:04,0:54:33,0:26:41,,0:18:22,2:03:26,2:30:07,3:24:40
C2E038,3:31:44,3:03:55,1:58:19,1:05:36,0:19:04,,0:07:49,2:06:08,2:25:12,3:30:48
C2E039,4:22:05,3:55:30,2:01:51,1:53:39,0:15:45,,0:08:35,2:10:26,2:26:11,4:19:50
C2E040,3:16:59,2:39:30,1:50:40,0:48:50,0:20:24,,0:13:58,2:04:38,2:25:02,3:13:52
C2E041,3:48:59,3:16:53,1:43:47,1:33:06,0:21:40,,0:08:53,1:52:40,2:14:20,3:47:26
C2E042,4:01:46,3:28:51,1:42:30,1:46:21,0:18:40,,0:11:48,1:54:18,2:12:58,3:59:19
C2E043,3:40:47,3:09:35,1:32:39,1:36:56,0:17:28,,0:10:54,1:43:33,2:01:01,3:37:57
C2E044,4:16:18,3:40:19,1:39:01,2:01:18,0:21:02,,0:13:43,1:52:44,2:13:46,4:15:04
C2E045,5:02:06,4:30:49,1:34:16,2:56:33,0:18:42,,0:11:05,1:45:21,2:04:03,5:00:36
C2E046,4:02:42,3:32:07,1:22:26,2:09:41,0:18:28,,0:09:12,1:31:38,1:50:06,3:59:47
C2E047,3:53:04,3:20:04,2:00:02,1:20:02,0:20:44,,0:10:32,2:10:34,2:31:18,3:51:20
C2E048,4:11:03,3:41:43,1:16:06,2:25:37,0:17:01,,0:10:31,1:26:37,1:43:38,4:09:15
C2E049,3:46:16,3:13:02,2:00:54,1:12:08,0:19:06,,0:09:33,2:10:27,2:29:33,3:41:41
C2E050,4:16:03,3:40:45,1:52:12,1:48:33,0:23:22,,0:10:20,2:02:32,2:25:54,4:14:27
C2E051,4:07:09,3:36:26,2:17:24,1:19:02,0:19:55,,0:09:24,2:26:48,2:46:43,4:05:45
C2E052,4:09:18,3:33:34,1:30:59,2:02:35,0:21:58,,0:12:46,1:43:45,2:05:43,4:08:18
C2E053,3:35:06,3:04:06,1:43:42,1:20:24,0:20:03,,0:09:11,1:52:53,2:12:56,3:33:20
C2E054,3:29:59,2:56:33,1:52:17,1:04:16,0:19:33,,0:11:32,2:03:49,2:23:22,3:27:38
C2E055,4:20:04,3:47:53,1:37:40,2:10:13,0:18:46,,0:12:10,1:49:50,2:08:36,4:18:49
C2E056,2:57:50,2:19:15,1:18:42,1:00:33,0:21:10,,0:12:44,1:31:26,1:52:36,2:53:09
C2E057,3:38:52,3:03:32,1:40:32,1:23:00,0:26:05,,0:07:54,1:48:26,2:14:31,3:37:31
C2E058,3:42:50,3:06:19,1:44:05,1:22:14,0:22:01,,0:12:52,1:56:57,2:18:58,3:41:12
C2E059,3:55:03,3:21:33,1:48:35,1:32:58,0:22:41,,0:08:59,1:57:34,2:20:15,3:53:13
C2E060,3:57:02,3:23:03,1:54:35,1:28:28,0:22:15,,0:10:21,2:04:56,2:27:11,3:55:39
C2E061,3:20:39,2:50:11,1:34:53,1:15:18,0:20:13,,0:09:06,1:43:59,2:04:12,3:19:30
C2E062,3:56:51,3:24:07,1:55:53,1:28:14,0:19:08,,0:11:21,2:07:14,2:26:22,3:54:36
C2E063,3:49:27,3:13:01,1:53:49,1:19:12,0:21:43,,0:12:43,2:06:32,2:28:15,3:47:27
C2E064,3:28:12,2:53:52,1:20:14,1:33:38,0:20:26,,0:12:25,1:32:39,1:53:05,3:26:43
C2E065,3:54:47,3:10:08,1:44:53,1:25:15,0:25:54,,0:17:00,2:01:53,2:27:47,3:53:02
C2E066,4:23:06,3:48:01,1:23:20,2:24:41,0:21:45,,0:11:37,1:34:57,1:56:42,4:21:23
C2E067,4:20:07,3:46:07,2:24:49,1:21:18,0:22:17,,0:10:46,2:35:35,2:57:52,4:19:10
C2E068,3:42:10,3:07:33,1:44:30,1:23:03,0:22:58,,0:10:13,1:54:43,2:17:41,3:40:44
C2E069,4:11:56,3:20:37,1:18:10,2:02:27,0:20:15,,0:10:56,1:29:06,1:49:21,3:51:48
C2E070,3:53:22,3:16:57,1:50:15,1:26:42,0:21:49,,0:13:02,2:03:17,2:25:06,3:51:48
C2E071,3:21:43,2:46:37,1:44:55,1:01:42,0:21:24,,0:11:38,1:56:33,2:17:57,3:19:39
C2E072,3:29:26,2:51:39,1:56:53,0:54:46,0:19:35,,0:16:33,2:13:26,2:33:01,3:27:47
C2E073,4:09:14,3:22:04,1:50:17,1:31:47,0:23:42,,0:15:44,2:06:01,2:29:43,4:01:30
C2E074,3:59:55,3:30:16,1:54:13,1:36:03,0:17:18,,0:11:25,2:05:38,2:22:56,3:58:59
C2E075,4:08:57,3:38:19,2:13:01,1:25:18,0:17:39,,0:10:34,2:23:35,2:41:14,4:06:32
C2E076,4:52:00,4:22:11,1:37:17,2:44:54,0:18:21,,0:09:50,1:47:07,2:05:28,4:50:22
C2E077,3:55:20,3:16:14,1:23:19,1:52:55,0:24:42,,0:11:50,1:35:09,1:59:51,3:52:46
C2E078,4:04:58,3:32:54,1:46:19,1:46:35,0:20:09,,0:10:47,1:57:06,2:17:15,4:03:50
C2E079,4:14:09,3:39:30,1:27:56,2:11:34,0:19:50,,0:11:02,1:38:58,1:58:48,4:10:22
C2E080,3:40:55,3:08:18,1:33:06,1:35:12,0:23:20,,0:07:57,1:41:03,2:04:23,3:39:35
C2E081,4:07:03,3:38:13,2:17:37,1:20:36,0:19:25,,0:08:38,2:26:15,2:45:40,4:06:16
C2E082,4:15:49,3:44:03,1:33:43,2:10:20,0:21:03,,0:08:59,1:42:42,2:03:45,4:14:05
C2E083,4:03:05,3:24:44,1:49:13,1:35:31,0:24:49,,0:11:55,2:01:08,2:25:57,4:01:28
C2E084,3:51:16,3:16:48,1:36:27,1:40:21,0:23:36,,0:10:05,1:46:32,2:10:08,3:50:29
C2E085,4:18:03,3:49:55,2:36:11,1:13:44,0:17:59,,0:08:59,2:45:10,3:03:09,4:16:53
C2E086,4:50:20,4:18:27,2:42:35,1:35:52,0:18:31,,0:11:16,2:53:51,3:12:22,4:48:14
C2E087,3:12:44,2:44:08,1:43:00,1:01:08,0:17:16,,0:09:17,1:52:17,2:09:33,3:10:41
C2E088,4:04:39,3:30:51,2:06:24,1:24:27,0:19:35,,0:12:37,2:19:01,2:38:36,4:03:03
C2E089,4:22:13,3:49:02,1:53:26,1:55:36,0:20:58,,0:10:22,2:03:48,2:24:46,4:20:22
C2E090,3:48:31,3:21:23,1:45:54,1:35:29,0:17:38,,0:08:11,1:54:05,2:11:43,3:47:12
C2E091,3:51:41,3:23:32,1:56:50,1:26:42,0:17:41,,0:08:58,2:05:48,2:23:29,3:50:11
C2E092,4:08:25,3:31:49,1:30:15,2:01:34,0:20:45,,0:12:37,1:42:52,2:03:37,4:05:11
C2E093,3:46:57,3:13:12,1:59:30,1:13:42,0:18:59,,0:10:22,2:09:52,2:28:51,3:42:33
C2E094,3:56:25,3:21:04,1:56:26,1:24:38,0:19:17,,0:13:18,2:09:44,2:29:01,3:53:39
C2E095,3:37:39,3:03:16,1:38:37,1:24:39,0:19:38,,0:12:15,1:50:52,2:10:30,3:35:09
C2E096,4:31:49,3:59:56,1:47:28,2:12:28,0:22:00,,0:08:44,1:56:12,2:18:12,4:30:40
C2E097,4:12:06,3:32:49,1:43:17,1:49:32,0:22:34,,0:14:21,1:57:38,2:20:12,4:09:44
C2E098,4:56:54,4:28:49,1:21:22,3:07:27,0:17:28,,0:08:44,1:30:06,1:47:34,4:55:01
C2E099,3:37:34,3:03:25,2:01:11,1:02:14,0:20:09,,0:11:22,2:12:33,2:32:42,3:34:56
C2E100,3:28:09,2:56:21,1:40:28,1:15:53,0:15:49,,0:12:59,1:53:27,2:09:16,3:25:09
C2E101,3:34:24,3:10:04,2:18:48,0:51:16,0:15:25,,0:07:12,2:26:00,2:41:25,3:32:41
C2E102,3:21:47,2:52:38,1:29:44,1:22:54,0:15:22,,0:09:23,1:39:07,1:54:29,3:17:23
C2E103,3:29:50,3:01:09,1:38:29,1:22:40,0:15:35,,0:11:33,1:50:02,2:05:37,3:28:17
C2E104,3:53:29,3:30:50,1:07:03,2:23:47,0:15:24,,0:06:53,1:13:56,1:29:20,3:53:07
C2E105,4:40:44,4:14:41,2:27:04,1:47:37,0:15:18,,0:09:06,2:36:10,2:51:28,4:39:05
C2E106,3:52:12,3:25:32,1:43:47,1:41:45,0:15:19,,0:10:32,1:54:19,2:09:38,3:51:23
C2E107,3:42:29,3:15:35,1:22:58,1:52:37,0:15:39,,0:09:58,1:32:56,1:48:35,3:41:12
